Store#,Name,Address,City,State/Province,Country,Zip,Interstate,Latitude,Longitude,Phone,Fax,Parking Spaces,Diesel Lanes,Bulk DEF Lanes,Showers,CAT Scale,Facilities/Restaurants,WiFi
380,"Pilot Travel Center","107 Seventh North Street","Liverpool","NY","US","13088","I-81/90  Exit 25","43.08671800","-76.16575200","(315) 424-0124","(315) 424-0126","85","8","8","5","Yes","","No",
381,"Pilot Travel Center","8701 Highway 395","Hesperia","CA","US","92344","I-15  Exit 141 & US 395","34.40914800","-117.39856500","(760) 956-2844","(760) 956-1198","217","8","8","10","Yes","Wendy's, Cinnabon","No",
384,"Pilot Travel Center","2126 Ruffin Mill Road","Colonial Heights (Richmond Area)","VA","US","23834","I-95  Exit 58","37.31134400","-77.39111200","(804) 524-9556","(804) 524-9522","110","10","10","9","Yes","Wendy's, Cinnabon, Roadside Assistance","Yes",
385,"Pilot Travel Center","9890 SE Missouri 13","Collins","MO","US","64738","US 54 & Hwy 13 South","37.87475100","-93.62150100","(417) 275-4796","(417) 275-4726","65","8","8","3","Yes","Subway","No",
386,"Pilot Travel Center","4220 Brooklake Road NE","Brooks","OR","US","97305","I-5  Exit 263","45.04838300","-122.97520600","(503) 463-1114","(503) 463-0409","88","8","8","7","Yes","Subway, Taco Bell, Cinnabon","No",
387,"Pilot Travel Center","791 Tenth Street","Carlin","NV","US","89822","I-80 & NV 278  Exit 280","40.71972400","-116.10579700","(775) 754-6384","(775) 754-6025","60","7","5","5","Yes","Subway, Pilot Casinos","No",
388,"Pilot Travel Center","1555 Tommy Webb Drive","Meridian","MS","US","39307","I-59  Exit 151","32.34724200","-88.72768600","(601) 484-5106","(601) 484-7370","100","8","8","7","Yes","Subway, Pilot Truck Care Center, Cinnabon, Breakfast/Soup Bar, Service Center","No",
390,"Pilot Travel Center","2115 South Highway 395","Stanfield","OR","US","97875","I-84/82  Exit 188","45.76531892","-119.20521649","(541) 449-1403","(541) 449-1430","117","7","7","9","Yes","Subway, Cinnabon, McDonald's, Roadside Assistance","No",
391,"Pilot Travel Center","1600 East Pine Street","Central Point","OR","US","97502","I-5  Exit 33","42.37765700","-122.89914400","(541) 664-7001","(541) 664-7006","93","9","9","7","Yes","Subway, Taco Bell, Cinnabon, Roadside Assistance","No",
392,"Pilot Travel Center","450 East Western Avenue","Sonora","KY","US","42776","I-65  Exit 81","37.52202100","-85.88225100","(270) 369-7300","(270) 369-8596","100","8","6","6","Yes","Subway","No",
393,"Pilot Travel Center","3712 Crabtree Road","Waynesville","NC","US","28786","I-40 & NC 209  Exit 24","35.57270000","-82.95586700","(828) 627-8611","(828) 627-9499","51","7","6","4","Yes","Subway, Mama Deluca's, Pilot Truck Care Center","No",
394,"Pilot Travel Center","239 Route 17K","Newburgh","NY","US","12550","I-84  Exit 34","41.52077100","-74.11347400","(845) 567-1722","(845) 567-1773","110","8","11","6","Yes","Arby's","No",
396,"Pilot Travel Center","3541 Lee Jackson Highway","Staunton","VA","US","24401","I-81  Exit 213A","38.01995200","-79.14282800","(540) 324-0714","(540) 324-0718","100","9","9","11","Yes","Arby's, Breakfast/Soup Bar","No",
398,"Pilot Travel Center","39 Victory Lane","Vienna","GA","US","31092","I-75  Exit 109","32.08540800","-83.75989100","(229) 268-1414","(229) 268-4880","100","7","7","5","Yes","McDonald's","No",
399,"Pilot Travel Center","150 Park Plaza Boulevard","Lebanon Junction","KY","US","40150","I-65  Exit 105","37.82743500","-85.72445200","(502) 833-2727","(502) 833-2759","100","8","8","7","Yes","Subway, Cinnabon, McDonald's","No",
402,"Pilot Travel Center","8020 Campstool Road","Cheyenne","WY","US","82007","I-80  Exit 367","41.13616500","-104.70723900","(307) 635-5744","(307) 635-5746","93","9","10","9","Yes","Subway, Breakfast/Soup Bar, Cinnabon","No",
403,"Pilot Travel Center","1915 East Raccoon Valley Road","Heiskell","TN","US","37754","I-75  Exit 117","36.11094100","-84.02039600","(865) 938-1439","(865) 938-4184","25","8","6","1","Yes","Deli","No",
404,"Pilot Travel Center","2441 South Church Street","Murfreesboro","TN","US","37127","I-24  Exit 81","35.80789500","-86.39601200","(615) 907-9595","(615) 907-3982","65","8","8","7","Yes","Arby's, Cinnabon","No",
405,"Pilot Travel Center","4949 Lamar Avenue","Memphis","TN","US","38118","US 78 & TN 175","35.01933600","-89.89825800","(901) 202-5520","(901) 202-5522","100","7","7","5","Yes","Subway","No",
406,"Pilot Travel Center","9211 Lewisburg Highway","Cornersville","TN","US","37047","I-65  Exit 22","35.30493200","-86.88448000","(931) 363-3290","(931) 363-8248","20","5","5","2","Yes","Hot Stuff Pizza","No",
407,"Pilot Travel Center","2411 US Highway 18 East","Clear Lake","IA","US","50428","I-35  Exit 194","43.14465300","-93.35877400","(641) 357-3124","(641) 357-4939","75","7","7","6","Yes","Subway","No",
408,"Pilot Travel Center","3000 Chestnut Ridge Road","Grantsville","MD","US","21536","I-68  Exit 22","39.69193500","-79.10068000","(301) 895-4536","(301) 895-4548","80","7","7","7","Yes","Arby's, Cinnabon","No",
409,"Pilot Travel Center","2320 Highway 46 South","Dickson","TN","US","37055","I-40  Exit 172","36.02303700","-87.34167900","(615) 446-4600","(615) 446-0763","43","11","10","11","Yes","Wendy's, Cinnabon, Breakfast/Soup Bar","No",
411,"Pilot Travel Center","921 Murfreesboro Rd","Lebanon","TN","US","37090","I-40  Exit 238","36.17863500","-86.29939400","(615) 453-8866","(615) 453-8860","150","8","8","8","Yes","Subway, Dairy Queen, Breakfast/Soup Bar, Cinnabon, Snap Fitness, Wingfoot Truck Care","No",
412,"Pilot Travel Center","3624 Roy Messer Highway","White Pine","TN","US","37890","I-81  Exit 4","36.10940100","-83.33365900","(865) 674-8570","(865) 674-8572","134","9","9","9","Yes","Cinnabon, Roadside Assistance, McDonald's","No",
413,"Pilot Travel Center","6418 Centennial Boulevard","Nashville","TN","US","37209","Hwy 155  Exit 26","36.17252100","-86.86521600","(615) 350-7225","(615) 350-7318","30","5","4","2","Yes","Subway","No",
415,"Pilot Travel Center","319 Deer Head Cove Road","Rising Fawn","GA","US","30738","I-59  Exit 4","34.76969900","-85.54187800","(706) 462-2455","(706) 462-2702","150","10","10","8","Yes","Subway, Snap Fitness","No",
416,"Pilot Travel Center","2201 East 16 Avenue","Cordele ","GA","US","31015","I-75  Exit 101","31.96026400","-83.74661000","(229) 271-5775","(229) 271-5774","67","7","7","10","Yes","Arby's","No",
417,"Pilot Travel Center","625 Carrollton Street","Temple","GA","US","30179","I-20  Exit 19","33.71936400","-85.02983200","(770) 562-9773","(770) 562-2269","86","8","8","14","Yes","Subway, Cinnabon, Wingfoot Truck Care","No",
420,"Pilot Travel Center","1881 Eatonton Road","Madison","GA","US","30650","I-20  Exit 114","33.56027700","-83.47926500","(706) 343-1455","(706) 343-1033","110","8","9","6","Yes","","No",
421,"Pilot Travel Center","142 Carbondale Road","Dalton","GA","US","30721","I-75  Exit 326","34.65561300","-84.98104300","(706) 370-4060","(706) 370-5769","95","10","10","9","Yes","Subway, Wingfoot Truck Care, McDonald's","No",
422,"Pilot Travel Center","1645 South Highway 29","Newnan","GA","US","30263","I-85  Exit 41","33.32111500","-84.77782200","(770) 252-3551","(770) 252-2197","95","7","7","7","Yes","Subway, Wendy's, Roadside Assistance","No",
424,"Pilot Travel Center","4032 West Highway 326","Ocala","FL","US","34482","I-75  Exit 358","29.26583000","-82.18890400","(352) 867-8300","(352) 867-8448","125","9","9","5","Yes","Arby's","No",
425,"Pilot Travel Center","33333 Blue Star Highway","Midway","FL","US","32343","I-10  Exit 192","30.48511200","-84.42072400","(850) 576-3200","(850) 576-3213","90","7","7","8","Yes","Subway, Mama Deluca's","No",
428,"Pilot Travel Center","300 Well Road","West Monroe","LA","US","71292","I-20  Exit 112","32.50802000","-92.19348000","(318) 329-3590","(318) 329-3592","100","9","9","5","Yes","Subway","No",
429,"Pilot Travel Center","1100 Martin Luther King Boulevard","West Memphis","AR","US","72301","I-40  Exit 280","35.15731800","-90.13815500","(870) 732-1202","(870) 732-1340","150","11","11","11","Yes","Roadside Assistance, Breakfast/Soup Bar","No",
430,"Pilot Travel Center","215 Sr 331 North","Russellville","AR","US","72802","I-40  Exit 84","35.28041400","-93.09237900","(479) 967-7414","(479) 964-0112","100","7","7","5","Yes","Subway, Cinnabon","No",
431,"Pilot Travel Center","2205 North Highway 62","Orange","TX","US","77630","I-10  Exit 873","30.11246400","-93.82177200","(409) 745-1124","(409) 745-3336","114","7","7","8","Yes","Subway","No",
432,"Pilot Travel Center","8055 South I-35","Robinson","TX","US","76706","I-35  Exit 328","31.45584900","-97.17194800","(254) 662-4771","(254) 662-4951","271","10","10","10","Yes","Subway, Breakfast/Soup Bar, Wingfoot Truck Care","No",
433,"Pilot Travel Center","8787 South Lancaster Road","Dallas","TX","US","75241","I-20  Exit 470","32.64202900","-96.78088200","(972) 228-2467","(972) 228-4386","150","10","10","8","Yes","Wendy's, Roadside Assistance","No",
434,"Pilot Travel Center","2400 Alliance Gateway Fwy.","Fort Worth","TX","US","76177","I-35  Exit 65","32.95773400","-97.30677700","(817) 337-5324","(817) 337-5137","185","9","9","12","Yes","Subway, Roadside Assistance, McDonald's","No",
435,"Pilot Travel Center","2015 Antonio Street","Anthony","TX","US","79821","I-10  Exit 0","31.99667100","-106.58675400","(915) 886-3090","(915) 886-3404","110","9","8","8","Yes","Subway, Wingfoot Truck Care, Wendy's","No",
436,"Pilot Travel Center","715 South Lakeside Drive","Amarillo","TX","US","79118","I-40  Exit 75","35.19561800","-101.74111500","(806) 335-3323","(806) 335-2868","90","11","11","12","Yes","Subway, Wingfoot Truck Care, Cinnabon, McDonald's","No",
437,"Pilot Travel Center","481 West Highway 92","Williamsburg","KY","US","40769","I-75  Exit 11","36.72176600","-84.16833800","(606) 549-0162","(606) 549-0166","80","7","7","5","Yes","Cinnabon, Wendy's","No",
438,"Pilot Travel Center","2940 Scottsville Road","Franklin","KY","US","42134","Hwy 100 & I-65  Exit 6","36.71772200","-86.52477800","(270) 586-9544","(270) 586-9887","150","10","10","9","Yes","Wendy's","No",
439,"Pilot Travel Center","12900 Fort Campbell Boulevard","Oak Grove","KY","US","42262","I-24  Exit 86","36.69248100","-87.45104200","(270) 439-0153","(270) 439-0765","130","10","10","5","Yes","Subway, Wendy's","No",
440,"Pilot Travel Center","205 Pendleton Road","Pendleton","KY","US","40055","I-71  Exit 28","38.45436800","-85.29778800","(502) 743-5222","(502) 743-5123","100","7","7","5","Yes","Subway","No",
441,"Pilot Travel Center","3240 Point Mallard Parkway","Priceville","AL","US","35603","I-65  Exit 334","34.53803900","-86.91045800","(256) 353-5252","(256) 353-5235","90","8","8","7","Yes","Subway, Roadside Assistance","Yes",
442,"Pilot Travel Center","1701 Highway 84 East","Hayti","MO","US","63851","I-55  Exit 19","36.22773900","-89.72609800","(573) 359-2007","(573) 359-2031","120","9","9","8","Yes","Arby's, Breakfast/Soup Bar, Roadside Assistance","No",
443,"Pilot Travel Center","6676 Highway 13","Higginsville","MO","US","64037","I-70  Exit 49","39.00314900","-93.73362300","(660) 584-8484","(660) 584-8486","128","9","9","6","Yes","Subway, McDonald's, Roadside Assistance","Yes",
444,"Pilot Travel Center","4376 N IN-59","Brazil","IN","US","47834","I-70  Exit 23","39.45157600","-87.12430900","(812) 446-9400","(812) 446-6116","55","8","8","10","Yes","Subway, Cinnabon, McDonald's","No",
445,"Pilot Travel Center","243 Melton Road","Burns Harbor","IN","US","46304","I-94  Exit 22","41.60469800","-87.11472600","(219) 787-5705","(219) 787-9656","119","9","9","7","Yes","Subway, McDonald's, Roadside Assistance","No",
446,"Pilot Travel Center","15876 West Commerce Road","Daleville","IN","US","47334","I-69  Exit 234","40.11478100","-85.57385800","(765) 378-0246","(765) 378-4248","125","9","9","5","Yes","","No",
447,"Pilot Travel Center","1042 East Warrenton Road Box 109E","Haubstadt","IN","US","47639","I-64  Exit 25","38.17477700","-87.54856900","(812) 868-1048","(812) 868-1050","145","8","8","8","Yes","Subway, Taco Bell, Cinnabon","No",
448,"Pilot Travel Center","18011 Colorado Street","Hebron","IN","US","46341","I-65  Exit 240","41.29034400","-87.29428800","(219) 696-8265","(219) 696-8281","138","9","9","8","Yes","Wendy's, Roadside Assistance, Cinnabon","No",
449,"Pilot Travel Center","66377 Belmont-Morristown Road","Belmont","OH","US","43718","I-70  Exit 208","40.05753000","-81.05068900","(740) 782-0134","(740) 782-0148","67","8","8","9","Yes","Subway, Cinnabon","No",
453,"Pilot Travel Center","909 Hyatt Street","Gaffney","SC","US","29341","I-85  Exit 90","35.07827300","-81.70391700","(864) 206-0050","(864) 206-0052","103","9","9","5","Yes","Arby's","No",
454,"Pilot Travel Center","1365 Sr 42 Ne","London","OH","US","43140","I-70  Exit 79","39.95875100","-83.37017500","(614) 879-4128","(614) 879-4137","128","9","9","9","Yes","Arby's, Breakfast/Soup Bar, Cinnabon, Roadside Assistance","No",
455,"Pilot Travel Center","488 State Route 61","Marengo","OH","US","43334","I-71  Exit 140","40.37032200","-82.83078300","(419) 253-1400","(419) 253-1402","70","7","7","5","Yes","Arby's","No",
457,"Pilot Travel Center","427 East Main Street","Beaver Dam","OH","US","45808","I-75  Exit 135","40.83387100","-83.96527100","(419) 643-6023","(419) 643-6085","105","9","9","10","Yes","Subway, McDonald's, Wingfoot Truck Care","No",
458,"Pilot Travel Center","619 South Sunshine Boulevard","Eloy","AZ","US","85231","I-10  Exit 208","32.73814600","-111.54938300","(520) 466-7550","(520) 466-7575","154","8","8","5","Yes","Subway, Dairy Queen","No",
459,"Pilot Travel Center","900 North 99Th Avenue","Avondale","AZ","US","85323","I-10  Exit 133","33.45549400","-112.27282500","(623) 936-0900","(623) 936-7376","170","9","9","13","Yes","Wendy's, Subway, Roadside Assistance","No",
460,"Pilot Travel Center","400 South Morgan Road","Oklahoma City","OK","US","73128","I-40  Exit 140","35.46250200","-97.68799200","(405) 440-1048","(405) 440-1093","145","10","10","10","Yes","Urgent Care Travel, Wingfoot Truck Care, McDonald's","No",
461,"Flying J","19325 Essex County Road 42","Tilbury","ON","CA","N0P 2L0","Hwy 401  Exit 56","42.26349100","-82.46123900","(519) 682-1140","(519) 682-9221","100","6","6","6","Yes","Subway, Cinnabon","No",
463,"Flying J CAN Dealer","5906 Oil Heritage Road","Wyoming","ON","CA","N0N 1T0","Hwy 402  Exit 25","42.98729400","-82.11658400","(519) 845-3249","(519) 845-0794","100","9","9","4","Yes","","No",
467,"Pilot Travel Center","4105 S. Loop 1604","San Antonio","TX","US","78264","I-37  Exit 125","29.22003200","-98.41508200","(210) 626-9183","(210) 626-9201","88","8","8","7","Yes","Subway, Cinnabon","No",
468,"Pilot Travel Center","815 Hwy 24 West","Gilman","IL","US","60938","I-57  Exit 283","40.75073200","-88.00208500","(815) 265-4754","(815) 265-4795","80","7","7","7","Yes","Denny's","No",
469,"Pilot Travel Center","2320 Faircrest Street","Canton","OH","US","44706","I-77  Exit 101","40.74913100","-81.40318800","(330) 484-3965","(330) 484-6304","130","8","8","7","Yes","Subway, Cinnabon, Roadside Assistance","No",
470,"Flying J","1191 70Th Avenue","Roberts","WI","US","54023","US 65 & I-94","44.96299100","-92.56112900","(715) 749-4238","(715) 749-4241","86","8","8","9","Yes","Cinnabon, McDonald's, Roadside Assistance","No",
471,"Pilot Travel Center","35647 US Hwy 27 North","Haines City","FL","US","33845","US Hwy 27 North","28.11817300","-81.63842200","(863) 421-3571","(863) 421-6032","76","7","7","7","Yes","Cinnabon, Denny's, Breakfast/Soup Bar","No",
472,"Pilot Travel Center","525 1St Street Po Box 87","Beasley","TX","US","77417","Highway 59","29.49461600","-95.91180300","(979) 387-2620","(979) 387-2111","56","8","8","7","Yes","Arby's, Cinnabon","No",
473,"Pilot Travel Center","23841 West Eames Street","Channahon","IL","US","60410","I-55  Exit 248","41.45752000","-88.19190800","(815) 467-4455","(815) 467-0972","25","4","4","","No","Subway, Dunkin' Donuts","No",
474,"Pilot Travel Center","270 Scotts Fork-Bonnie Road","Sutton","WV","US","26601","I-79  Exit 67","38.70495100","-80.66365700","(304) 765-9270","(304) 765-7306","56","7","7","5","Yes","Moe's Southwest Grill, Cinnabon","No",
475,"Pilot Travel Center","305 W. Abrahames Road","Moriarty","NM","US","87035","Hwy 41 and I-40","35.01044200","-106.04665400","(505) 832-4954","(505) 832-4953","85","9","9","7","Yes","Subway, Roadside Assistance","No",
476,"Pilot Travel Center","900 Plaza Avenue","Woodhull","IL","US","61490","I-74  Exit 32","41.18118300","-90.33884700","(309) 334-4550","(309) 334-4556","35","7","7","5","Yes","Hot Food and Pizza, Breakfast/Soup Bar","No",
477,"Flying J","1700 US Hwy 75","Anna","TX","US","75409","Hwy 75  Exit 48","33.34477200","-96.58895800","(972) 924-2035","(972) 924-2051","110","8","8","8","Yes","Pizza Hut, Huddle House","No",
478,"Pilot Travel Center","6921 South Sr 66","Leavenworth","IN","US","47137","I-64  Exit 92","38.23939200","-86.36236200","(812) 739-2002","(812) 739-4034","75","7","7","5","Yes","Subway, Cinnabon","No",
481,"Pilot Travel Center","281 Pleasant Grove Road Sw","Cleveland","TN","US","37353","I-75  Exit 20","35.15238100","-84.95325700","(423) 476-3892","(423) 476-5430","80","8","8","7","Yes","Subway, McDonald's, Roadside Assistance","No",
482,"Pilot Travel Center","4610 Broadway","Mount Vernon","IL","US","62864","I-57  Exit 95","38.31310700","-88.96140200","(618) 244-1216","(618) 244-1262","100","8","8","7","Yes","Denny's, Roadside Assistance","No",
483,"Pilot Travel Center","3801 N. Division Street","Morris","IL","US","60450","I-80  Exit 112","41.39579700","-88.42198300","(815) 705-0120","(815) 705-0126","73","8","8","7","Yes","Subway, Cinnabon","No",
485,"Pilot Travel Center","5625 W. Winnemucca Blvd.","Winnemucca","NV","US","89445","I-80 & W. Interchange","40.93133700","-117.80488900","(775) 625-2800","(775) 625-2814","85","7","7","5","Yes","Subway","No",
486,"Pilot Travel Center","12881 Farm to Market Road 14 A","Tyler","TX","US","75706","I-20 & FM 14","32.45041700","-95.28380200","(903) 593-5466","(903) 593-3204","85","8","8","7","Yes","McDonald's, Roadside Assistance","No",
488,"Flying J","921 N. Ih 35","Cotulla","TX","US","78014","I-35  Exit 69 (NWQ)","28.45308600","-99.23836600","(830) 879-5363","(830) 879-5359","77","8","8","7","Yes","Subway, Cinnabon","No",
489,"Flying J","4401 32nd Avenue South","Grand Forks","ND","US","58201","I-29  Exit 138","47.88797100","-97.09338200","(701) 738-0017","(701) 746-4342","65","7","7","10","Yes","Subway","No",
490,"Pilot Fuel Center","3202 S. Canal Street","Carlsbad","NM","US","88221","Hwy 285","32.38835800","-104.21550500","(575) 887-7033","(575) 887-0466","20","7","7","2","No","","No",
491,"Pilot Travel Center","3634 North Valley Pike","Harrisonburg","VA","US","22802","I-81  Exit 251","38.48004400","-78.81899400","(540) 434-2529","(540) 434-2076","98","9","9","7","Yes","Subway, Breakfast/Soup Bar, Roadside Assistance","No",
492,"Pilot Travel Center","170 Valley Street","Caddo Valley","AR","US","71923","I-30  Exit 78 & Hwy 7","34.18714400","-93.07026200","(870) 245-3119","(870) 245-3084","72","8","8","7","Yes","Cinnabon, Roadside Assistance","No",
493,"Flying J","113 Motel Drive","St. George","SC","US","29477","I-95  Exit 77","33.19353200","-80.60215100","(843) 563-8989","(843) 563-8986","118","10","8","8","Yes","Cinnabon, Denny's, Breakfast/Soup Bar","No",
494,"Pilot Travel Center","1128 Duanesburg Road","Rotterdam","NY","US","12306","I-88. Exit 25","42.78175800","-74.02856900","(518) 356-5616","(518) 356-5634","95","5","5","4","Yes","Subway, Dunkin' Donuts","No",
495,"Pilot Travel Center","4126 Highway 21","Brooklyn","IA","US","52211","I-80  Exit 201","41.69844600","-92.35902600","(319) 685-4221","(319) 685-4575","90","7","7","5","Yes","Subway, Roadside Assistance","No",
496,"Pilot Travel Center","2086 Atalissa Road","Atalissa","IA","US","52720","I-80  Exit 265","41.64424600","-91.14997200","(563) 946-3761","(563) 946-3871","43","11","11","4","Yes","","Yes",
497,"Pilot Travel Center","130 Honda Drive","Lincoln","AL","US","35096","I-20  Exit 165","33.59304500","-86.15923900","(205) 763-2225","(205) 763-2229","80","8","8","7","Yes","Subway, Breakfast/Soup Bar, Cinnabon, Roadside Assistance","No",
498,"Pilot Travel Center","1954 S. Mississippi Avenue","Atoka","OK","US","74525","US 69 & Redbud Lane","34.36491500","-96.14071200","(580) 364-0232","(580) 364-0281","63","8","8","5","Yes","Moe's Southwest Grill, Cinnabon","No",
500,"Pilot Travel Center","8067 W FL-6","Jasper","FL","US","32052","I-75  Exit 460","30.51629700","-83.05909300","(386) 638-1635","(386) 638-0117","90","10","10","9","Yes","Subway, Roadside Assistance, Cinnabon","No",
503,"Pilot Travel Center","2309 Smithtown Road","Morgantown","WV","US","26508","I-79  Exit 146","39.53905300","-79.99389100","(304) 284-8518","(304) 284-8509","70","7","7","5","Yes","Breakfast/Soup Bar, Cinnabon, Hot Food and Pizza","No",
504,"Pilot Travel Center","3817 N Highway 97","Klamath Falls","OR","US","97601","Highway 97","42.25670800","-121.79834200","(541) 884-0400","(541) 884-0409","48","5","5","4","Yes","Subway","No",
505,"Flying J US Dealer","108000 North Frontage Road","Yuma","AZ","US","85367","I-8  Exit 12","32.67345800","-114.44490900","(928) 342-2696","(928) 342-1619","98","8","7","6","Yes","Day Breaker's Cafe","No",
507,"Flying J US Dealer","11710 North Interstate 35","Jarrell","TX","US","76537","I-35 & Exit 275","30.81129700","-97.61085400","(512) 746-4341","(512) 746-4390","140","7","11","8","No","Burger King, Q Eats, Denny's","No",
509,"Flying J US Dealer","653 West 1400 North","Beaver","UT","US","84713","I-15  Exit 112","38.29261000","-112.65320200","(435) 438-5191","(435) 438-5043","120","6","6","6","No","Wendy's, Denny's, Roberto's Taco Shop","No",
510,"Flying J US Dealer","810 North 800 West","Scipio","UT","US","84656","I-15  Exit 188","39.25565600","-112.11619200","(435) 758-2345","(435) 758-2330","35","5","1","4","No","Dairy Queen","No",
511,"Flying J US Dealer","3825 Business Loop I-94","Mandan","ND","US","58554","I-94  Exit 147","46.86077000","-101.01006000","(701) 663-6922","(701) 663-0331","125","7","7","5","Yes","","No",
513,"Flying J US Dealer","115 West Primm Blvd.","Primm","NV","US","89019","I-15  Exit 1","35.60969500","-115.39169500","(702) 679-6666","(702) 679-6543","125","10","10","6","Yes","","No",
514,"Thorntons","2903 Woodlawn Road","Lincoln","IL","US","62656","I-55  Exit 126","40.15658400","-89.41274200","(217) 732-3915","(217) 732-4875","100","10","10","6","Yes","","No",
517,"Pilot Travel Center","30 Benvenue Road","Duncannon","PA","US","17020","US 22 & 322","40.40612700","-77.00918700","(717) 834-3156","(717) 834-3208","68","7","7","6","Yes","Subway","No",
518,"Flying J","2210 Camp Swatara Road","Frystown","PA","US","17067","I-78  Exit 10 (PA 645)","40.46380100","-76.34006700","(717) 933-4146","(717) 933-5008","150","11","11","10","Yes","Subway, Huddle House, Auntie Anne's, Cinnabon","No",
519,"The Pantry","510 E. Main Street","Senatobia","MS","US","38668","I-55  Exit 265","34.62035600","-89.95342200","(662) 560-1973","(662) 560-1992","75","6","1","4","Yes","Baskin Robbins, Huddle House","No",
522,"Pilot Dealer","482 Suedberg Road","Pine Grove","PA","US","17963","I-81  Exit 100","40.53434500","-76.43184500","(570) 345-8800","(570) 915-6278","155","6","5","3","Yes","Dairy Queen, Gooseberry Farms, Subway","No",
524,"Pilot Dealer","4610 Kansas Avenue","Kansas City","KS","US","66106","I-635  Exit 3","39.09082200","-94.68286400","(913) 948-8301","(913) 233-0721","","8","8","2","Yes","Mexican Grill","No",
549,"Flying J US Dealer","125 Plaza Lane","Mount Airy","NC","US","27030","I-77  Exit 100","36.48685800","-80.74703500","(336) 352-3167","(336) 352-3169","150","10","10","10","No","","No",
550,"Flying J","3800 Highway 2 And 52 W","Minot","ND","US","58701","Hwy 2 & 52  Exit 83","48.22387000","-101.35020900","(701) 839-5061","(701) 839-3623","55","8","7","4","Yes","Subway, Cinnabon","No",
551,"Flying J US Dealer","16851 IH 20","Cisco","TX","US","76437","I-20/SH206  Exit 330","32.37372800","-99.00768400","(254) 442-1040","(254) 442-1085","120","8","8","7","Yes","Denny's","No",
552,"Flying J","3140 OH-350","Lebanon","OH","US","45036","I-71  Exit 32","39.41187900","-84.15006600","(513) 933-0312","(513) 933-0316","109","8","8","7","Yes","Wendy's, Cinnabon, Auntie Anne's","No",
553,"Flying J","2571 N. Front Street","Fort Stockton","TX","US","79735","I-10  Exit 259","30.90521200","-102.88511800","(432) 336-3410","(432) 336-3430","109","8","8","9","Yes","Subway, Cinnabon","Yes",
554,"Flying J","4066 US-59","George West","TX","US","78022","I-37  Exit 56","28.33667600","-98.02337100","(361) 449-1420","(361) 449-8919","90","8","8","7","Yes","McDonald's","No",
556,"Pilot Dealer","7501 South Choctaw Road","Choctaw","OK","US","73020","I-40  Exit 166","35.39062200","-97.26636700","(405) 638-3000","(405) 638-3006","35","5","5","3","Yes","","No",
557,"Pilot Travel Center","3710 W. Carlsbad Hwy","Hobbs","NM","US","88240","Hwy 180/62","32.69780500","-103.18375900","(575) 391-0120","(575) 391-0412","46","6","6","3","Yes","Subway, Cinnabon","No",
559,"Pilot Travel Center","706 East I-20 Frontage Road","Big Spring","TX","US","79720","I-20  Exit 178 (SWQ)","32.26601900","-101.47642800","(432) 264-7490","(432) 264-7050","71","8","8","7","Yes","McDonald's","No",
568,"Pilot Travel Center","14555 Ih35 South","Von Ormy","TX","US","78073","I-35  Exit 140","29.27954300","-98.66931400","(210) 622-9384","(210) 622-9302","64","8","8","7","Yes","Subway, Cinnabon","No",
571,"Flying J","2460 E. Highway 60","Charleston","MO","US","63834","I-57  Exit 12","36.92208600","-89.31438400","(573) 683-4153","(573) 683-4196","84","9","9","7","Yes","Cinnabon, Roadside Assistance, Breakfast/Soup Bar","No",
572,"Flying J","3040 220Th Street","Williams","IA","US","50271","I-35 & SR 20  Exit 144","42.47028300","-93.57267300","(515) 854-9117","(515) 854-9124","100","8","7","7","Yes","Subway, Cinnabon, Breakfast/Soup Bar","No",
573,"Pilot Travel Center","2000 Farm to Market Rd 1488","Hempstead","TX","US","77445","US290","30.10816800","-96.04813900","(979) 826-0182","(979) 826-0216","46","8","8","5","Yes","Subway","No",
575,"Pilot Travel Center","491 St. Mary's Road","St. Mary's","GA","US","31558","I-95  Exit 1","30.76122700","-81.64945400","(912) 576-8460","(912) 882-8867","235","14","14","12","Yes","Subway, Cinnabon, Roadside Assistance","Yes",
576,"Flying J","8051 Bagley Avenue","Northfield","MN","US","55057","I-35  Exit 69","44.47050600","-93.29554800","(507) 645-6082","(507) 645-2475","80","8","7","5","Yes","Subway, Breakfast/Soup Bar","No",
580,"Flying J","5900 E. Interstate 20","Odessa","TX","US","79766","I-20  Exit 121 (Loop 338)","31.86486600","-102.30187200","(432) 366-0812","(432) 366-0845","101","11","11","10","Yes","McDonald's, Roadside Assistance","No",
581,"Pilot Travel Center","11650 Courthouse Blvd.","Inver Grove Heights","MN","US","55077","Hwy 52/55","44.78083600","-93.03328700","(651) 438-3397","(651) 480-4800","40","5","5","3","Yes","Subway, Breakfast/Soup Bar","Yes",
583,"Pilot Travel Center","5670 Barrett Road","Ferndale","WA","US","98248","I-5  Exit 262","48.84921000","-122.57207000","(360) 312-1822","(360) 312-1851","12","7","7","4","Yes","Subway","No",
584,"Flying J","12334 Ehlen Road Ne","Aurora","OR","US","97002","I-5  Exit 278","45.23406700","-122.80939800","(503) 678-1262","(503) 678-1667","90","9","9","7","Yes","Subway, Cinnabon, Roadside Assistance","Yes",
